"","Treatment","SproutN","BunchN","GrapeW","WoodW","SPAD06","NDVI06","SPAD08","NDVI08","Acid","Potass","Brix","pH","Anthoc","Polyph"
"1","T6a",0.319351851152059,-0.0146376847303748,0.690797063453042,1.23025881490248,0.202707896349913,0.19049626268246,0.273636723905332,0.20692769891866,-0.400710934085964,0.151206080464512,0.010867192690827,0.136906264767823,0.262685166344955,0.0666105740716397
"2","T1b",-0.467936828724399,-0.356982441710039,-0.261610363553543,-0.50522668600093,-0.0303302553849418,-0.160600632013429,-0.189845989883931,-0.214032634232582,-0.0162019598519025,-0.0508897719999071,0.0360739205221959,0.0245524967071716,0.139367569430366,0.249373583955278
"3","T3b",-0.0411053474373098,0.487734818049451,1.35427884115406,0.921248136295786,0.120138014013241,0.0329489905990329,0.112868511185562,-0.0921489826039844,-0.142177691877052,-0.0610971810004705,-0.0906812756805741,0.00947493305199228,-1.25964066027817,-0.736168672997288
"4","T3b",-0.0459806302797274,0.283027715420862,-0.528792929075251,0.00937853981074929,0.0187134323939054,0.00560608310764157,-0.00954543517159121,0.156430049338778,0.194599999909782,-0.0160988300691768,0.110613810080883,-0.0034825707487106,0.0314403139575187,0.266491210069721
"5","T3a",-0.143411203840962,0.384640879446199,0.202780862261626,0.00440323865178959,-0.0974823368452957,0.0977947929966732,-0.0161701600829523,-0.0863265883831632,0.0242703277080915,-0.24140451424248,-0.101966970543588,-0.0436883942220397,-0.336990193913217,-0.383633456516414
"6","T6a",0.144601301689262,0.012027655370048,0.214017206140448,0.672781050063888,0.0456917161459299,0.236185246510018,0.220859508204457,0.0571104917111077,-0.147433191795972,0.279712973685943,-0.0189405462276912,0.0193638434854109,0.294648610531959,0.193952228306301
"7","T5a",-0.41095198303676,-0.0746602943102209,0.337197993365333,-0.488778651863456,-0.208545065081462,-0.17315793842127,-0.227945830576511,-0.0536579065316055,-0.00410190973500378,0.0856082191940089,-0.10573243673792,-0.0264134276323967,0.0360724123522746,0.190251727001589
"8","T4b",-0.17831111325058,-0.212796378336081,0.234106942901506,0.574996502053081,0.115502133855358,0.154635757917894,0.132163534750669,-0.0833096681070489,-0.0333976464671966,-0.0256208365805091,-0.00665483479220676,0.0142240838815413,-0.291643882073192,-0.286075782722606
"9","T2b",-0.160450902388075,-0.0636897348909996,-0.649187530306497,0.0946222258489935,0.0545347150708683,-0.185816781501952,0.0216514854330096,-0.0521745303656814,0.135069221559221,0.165195167656599,0.0341927371851376,0.00880090940729477,-0.283920152595806,-0.184060232989838
"10","T6b",0.103457743706016,-0.538094447381643,0.229324796658927,0.336616378916967,-0.0153236786899519,-0.0163018483517687,0.131135214248462,0.137989281620571,-0.116853727427536,0.220895279233725,-0.0494562101213362,0.0169727132783677,0.251143685897646,0.0399195153631594
"11","T5a",0.351867369936335,0.608116249763629,0.840841834821788,0.413539785641488,0.14270681259629,0.0433996168688708,0.114965630666269,0.0124320664461958,0.191010547356792,-0.0170223105228979,-0.152224439759917,-0.0582635532490158,-0.24379560300761,-0.23264124136785
"12","T2b",-0.203294553596469,-0.343699794339022,-0.507104413409604,-0.230561548231318,-0.0562965967888564,0.0397096687874626,-0.0485751995661049,0.105401151939338,-0.00221691865256751,-0.0508689637835965,0.0507728001540037,-0.0196282104363318,0.0747498983788601,-0.0228457706017687
"13","T1a",-0.135490893751262,-0.160528196268405,1.05117889272155,0.528240409032728,0.243899728403596,0.152032762087678,0.303067886314802,0.0274445951215592,-0.271777901022186,-0.00437150077262721,-0.0452475553520005,0.0624595379198377,0.0252709072199071,0.0773012275941611
"14","T5b",0.425774026957029,1.40905466868009,1.87975317761291,0.650063764402063,0.149742438439049,-0.0561372725941262,0.132783399151243,0.160598681981303,0.175464315955999,-0.0867925667686004,-0.190222026275054,-0.0369011132751908,-1.31123391448556,-0.650338758871652
"15","T4a",0.255850411770652,-0.535786956175606,-0.486868848794428,0.418701313706254,0.232814779262985,0.061895159141152,0.130436479691825,-0.0147086558908178,-0.283677214805924,-0.0466745678135757,-0.0375294467371517,0.060564142653141,-0.366317529207441,-0.5866377256832
"16","T7a",0.136218619400146,-0.0557699346285669,-0.114466872576443,0.115390451291638,0.0485914472411391,0.0745729560629659,0.0254545039940169,-0.0113013908935781,0.0416509446275828,-0.157685649904818,-0.0363832105368347,-0.00246321208282829,0.0802159802822627,-0.119823057744919
"17","T8a",0.319332238822672,0.0558535693524138,0.667531855651159,-0.059950816706609,0.0645801041168035,0.162687361837552,-0.0255753888691068,0.120576197521774,-0.0547839135252268,-0.0776301796071707,-0.0966994383119841,-0.0141727155126591,-0.202654743889505,-0.227453092561576
"18","T3a",-0.208053678380701,-0.272455826772481,-0.90225937555085,-0.668208659899657,-0.11873249954747,-0.0748232027845318,-0.032780835605484,-0.382209674965988,0.250015727330466,-0.215604603954097,0.0308366731183239,-0.0611131175729348,0.412864429128448,0.36198276644986
"19","T7b",0.0656701781906757,0.68326402254391,0.24943294705352,0.0573624875490903,-0.0224887441414009,-0.147691343751407,-0.176635845972174,0.0343232760099273,0.0862408780268967,0.071316537374595,0.131183209598971,-0.0115524360619215,-0.0459848674451231,0.0721196927026194
"20","T1b",-0.185382367529514,0.552678360147371,0.345467029679632,-0.269397636901776,-0.0571103623133488,-0.0866769682594664,-0.058717960993839,0.13544893388046,0.266304216969055,0.208219880312886,-0.133652082265711,-0.0458119565559979,-0.826776375993447,-0.263767613034599
"21","T7a",0.134714912036036,-0.0297645336992954,-0.904456411511481,-0.981050788130829,-0.268636095795143,-0.195392722733695,-0.283905462100418,-0.312776720573724,0.256211969284202,-0.0258917548077607,0.0441836289934743,-0.0680006563111504,0.634788125460212,0.327698521981931
"22","T4a",0.0517874932290576,-0.297442233947481,-0.402924866380018,-0.209461114864616,0.0356290373939319,0.0642411574889641,0.0471256681381828,0.0840183697282359,0.0692736178866198,0.188465393542538,0.0437212395190884,-0.0216094299257939,0.713531660061422,0.550470285933367
"23","T1a",-0.186813526249318,-0.167885044208662,0.140215545029437,0.103416269004814,0.0796451275356206,-0.128911954776394,0.0344100527014137,-0.00837711647012154,-0.0162712479659455,0.0279774179475312,-0.0652625942343546,0.00974636041999282,-0.202686442387452,0.0160867051822359
"24","T6b",-0.231370614012781,-0.0841777535634859,-0.383025779048279,0.152339638766768,-0.127830800386197,0.0455724956371289,0.146620712023298,-0.00774294797044119,-0.108738384404142,0.23793045747226,0.165140537512027,0.0193998676227112,0.463955844332383,0.381766697237675
"25","T7b",0.206721353432948,0.195150813211128,0.888083679433083,0.572917453606827,0.0740920048513399,0.0642571765244533,0.0837572944487013,-0.138134740939788,-0.0565943201281215,-0.361715353916821,-0.0680143498744,-0.00307539356420519,-0.413840692760213,-0.414619679176883
"26","T8b",0.0163441761685232,-0.320932335648602,0.377286991204228,0.85235871168843,0.221661103001895,0.0803589628803901,0.180937404376419,0.147550271036121,-0.178396488744438,0.0804068197392419,0.138702041281172,0.0832584689294752,-0.578586287948987,-0.312847547228301
"27","T8a",-0.0110190962635184,-0.416454298007658,-0.666257246685506,-0.0894453253030672,-0.0300531365506981,-0.0868548661713741,-0.0506290087239604,-0.0585820153457121,0.143938270111579,0.195496998617527,0.0883656028662491,-0.00905352794470533,0.518982996953006,0.606295871579434
"28","T4a",-0.162242847901585,-0.477391113317775,-0.363080777772221,0.0588131239573511,-0.00504871188326315,-0.0587285950767391,-0.0214390441331395,0.0444991922337209,0.158351642921199,0.141243854236651,-0.0930703717539943,0.000923824684863305,-0.524342272888882,-0.285592259710503
"29","T4b",-0.00400608962375121,-0.0748229865488625,-0.312036801702079,0.330486503877152,0.103546923631852,0.0369013058230608,0.045857567766222,0.117391831730228,-0.128991593089542,-0.0792044714836233,0.0707451526663035,0.0238731686966786,-0.325827773302835,-0.337208599866898
"30","T3b",-0.040914707431019,-0.154024977674639,-0.738643290614548,0.094398082553284,-0.126244860131605,-0.0121765358707795,-0.0138770103209035,-0.158421653325853,0.0903689144367415,-0.00459747324130672,0.0273624454063774,-0.0511301482432077,-0.343675705163087,-0.145229759382315
"31","T2a",-0.145016023154252,-0.437993982519495,-0.433930288325694,0.186408985984092,0.0993842156971942,0.173593395834848,0.174156977104183,-0.105983977951482,-0.11602745380318,-0.0717242449773229,0.0188063131604791,0.0192422064271185,0.209548311959545,0.022562798580643
"32","T1a",-0.0810517590743677,0.221216359454804,0.337412017560123,0.636592000960642,0.0949300826755128,0.0629735218182481,0.0781875262325376,-0.00335322637961021,0.0983923418087574,-0.0487880278284806,-0.0452035184629126,-0.00191075678422624,-0.0709595968175398,-0.123596011283999
"33","T4b",-0.203542716382927,-0.15420861115856,-0.751661172266872,-0.226080820494573,-0.0891942666615562,-0.121426183213718,-0.0271326167124217,-0.041176483762731,-0.0228147029260661,0.113935869594689,0.212087508944475,0.0214832332926128,0.267245397392967,0.320959753046378
"34","T8a",-0.0318098636912631,-0.31957123606192,-0.242914045262746,-0.262786084124101,-0.0468105925248658,0.0213132666387581,-0.0577103238527358,-0.0496148721764473,0.164901386103204,0.0177015929270256,-0.1189097799643,-0.0550580847248553,0.256300758932643,0.0511427876768092
"35","T6b",0.247067481691441,-0.141393664249321,0.284231251969136,0.785171794859116,0.0616833894480953,0.069112351152122,0.13605299850903,0.396482749304283,-0.156361500018676,-0.187907870887745,-0.0127761148713488,0.0181690517855457,-0.193842812406859,0.114532136493345
"36","T2b",0.0689887005202574,0.100376496795782,0.748602010184608,0.579543586434897,0.277359504899179,0.335106014489814,0.204477919057215,0.10558156463086,-0.351243023828141,0.303109639028907,-0.0400662981283778,0.105245930620458,0.448609337322978,0.316664027536436
"37","T8b",0.387499685961066,0.293209585324388,0.357620941071725,0.899836175665732,0.139096876964284,0.206762291165375,0.0259697787456934,-0.034315279481611,-0.0443700221395453,0.084001262995113,0.0626612300423187,0.0271450010060452,-0.891722756528375,-0.28055080559041
"38","T7a",0.072008621347186,-0.557825954688797,0.400718356179036,0.159858262461015,0.0969223510466407,0.0745039761074036,0.0759234701067511,0.065416277201504,0.224608876387708,0.18013904189092,-0.0833468084642142,-0.0551467719998357,-0.454857585109747,-0.504971430342209
"39","T5b",-0.0573651904478369,-0.388176650739211,-0.251162077332184,-0.0627486612665722,-0.0113969399071721,-0.025533921025711,-0.0247338762837251,0.0140237925670013,-0.125980326012993,-0.120515744034061,0.0348723760621168,0.00258156381969303,0.106908274002868,0.0250995023910227
"40","T3a",-0.222286645377242,-0.14712355755799,-0.363714989547687,-0.493170248902117,-0.00287418421133652,0.0994885583947109,0.00379282596827427,-0.042204364311111,-0.0741850638004136,0.00529742114702527,-0.00112593475540847,0.0215368445761053,0.308094209682949,0.0821326744533465
"41","T6b",0.0500830362779592,-0.293005980647891,-0.721687460738252,-0.0967867394736812,-0.0433723242336546,-0.100956671520986,-0.0827503969922982,-0.128262680548395,0.028806329615648,0.113939530028341,0.0547568585330454,0.00418151858735266,0.575944922288705,0.372788046818966
"42","T1a",-0.066664088475182,0.712827438923296,0.422828988891061,-0.152430416068257,0.0107282753416645,0.0493130011545661,-0.0292106009891432,-0.0435997646529116,0.208770097435819,-0.158215493032151,-0.118189313100475,-0.0844725906210087,-0.0421350490391326,-0.275879749829964
"43","T7a",0.0410781908579943,0.317201908619974,0.21506094673908,-0.077266472912588,-0.0111986921679629,-0.0190846531881934,0.00309592564375113,0.0431353174515112,0.00769292923448704,-0.164409016524582,0.0490855816756977,-0.00714860110672158,-0.0183295068463072,0.168706895980956
"44","T7b",0.0430701182368924,-0.505744217186909,-0.898661728762696,-0.442584476052623,-0.0650470747487802,-0.18320887542221,-0.115069103190732,-0.0448618589235862,0.0777890003102575,-0.10373721985804,0.114927247412722,-0.0094749245976213,0.708362177671841,0.70641072154457
"45","T8a",0.370985021942854,0.489714511921366,0.759576936989714,0.119032047239806,0.177139942005734,0.0496153904918593,-0.00278415124854141,0.0420715043064547,-0.281546210820909,0.185237354625281,0.0784725084378268,0.0877840772109323,-0.429393462267298,-0.322140324234625
"46","T7a",0.375619127114689,0.782373205807065,-0.618871704518614,-0.911574434133798,-0.0894319044745034,-0.0305816911818789,-0.113164653428515,0.00401640115439457,0.292768197080179,-0.0580846267344928,0.0131282495395066,-0.0351359882241005,0.395583980287262,0.18662443062918
"47","T8b",-0.0054988394233422,0.143040783877952,-0.572042223748048,-0.383908517687543,-0.0475567011544077,-0.172614888799123,-0.0552518040160155,0.0253232532899067,0.133013312728551,-0.195849524325047,0.1643814438701,0.00888156986522704,0.514095747201155,0.52512317136607
"48","T2a",-0.0807015716289531,-0.274164371846378,-0.263773485735776,-0.301168382610709,-0.105863293903038,0.0462265955707445,-0.143773372176374,-0.0632604967977016,-0.0557714932135213,0.095882686339538,-0.0652130132179514,-0.02033287019293,0.0193092740276099,-0.113445722185124
"49","T7b",0.118145873567452,0.00172842973718461,-0.202058883063002,0.326210864027005,-0.00328480182921286,-0.182949415834089,-0.0410080893419689,-0.00565521211352714,0.071083360871926,0.0180021381478807,-0.0149201783789905,-0.0238300907303879,-0.134055796700643,0.086893858811661
"50","T3b",-0.127473676594142,0.303442555252063,-0.0845550871517291,-0.72212543759803,-0.0888257015073747,-0.0380916382762547,-0.124925088824071,-0.142661990502573,0.0511385172726383,0.0410094401052527,0.0282042041930285,-0.0242642347769694,0.799114151529402,0.453335827544252
"51","T2b",-0.386977546812279,-0.460069686069843,-0.817776887183559,-0.251556544963056,-0.178329519440189,-0.0969062882244458,-0.123176650006817,0.0225025087520797,0.00506992504899026,0.125015704301364,0.126499288236706,0.0190103241414883,0.0132024615049742,-0.0539710700838491
